data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,TTS_link_ID,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh,battery_price,technology_type,extensions_multiphase_id
MA DOER,-1,SMAES_09918,-1,18-Sep-2019,7.26,16100.0,0.0,RES,0,0,-1,-1,0,-1,01104,Springfield,MA,Eversource MA West,1,Sunrun Inc.,0,221.0,39.0,-1.0,40.0,10,-1,LG Electronics Inc.,LG330N1C-A5,11,LG Electronics Inc.,LG330N1C-A5,11,-1,-1,-1,0,Monocrystalline,Monocrystalline,-1,0,0,-1,0,0,-1,330.0,330.0,-1.0,0.200157214393851,0.200157214393851,-1.0,SolarEdge Technologies Ltd.,SE7600H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,7.616,-1.0,-1.0,1,0.953256302521008,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
CPS Energy,-1,696,-1,18-Jun-2010,5.94,25834.73,12917.37,RES,0,0,-1,-1,-1,-1,78253,San Antonio,TX,CPS Energy,-1,Novastar Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Suntech Power,STP270-20/Wem,22,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,270.0,-1.0,-1.0,0.165961841070024,-1.0,-1.0,SMA America,SB8000US-12 [277V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,8.0,-1.0,-1.0,0,0.7425,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-114215274,-1,05-Jan-2018,8.12,38237.08,0.0,RES,0,0,-1,-1,0,0,94526,DANVILLE,CA,Pacific Gas and Electric,1,Complete Solar,0,279.0,-1.0,-1.0,18.0,-1,-1,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HIS-S290RG(BK),28,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,290.0,-1.0,-1.0,0.177183635563811,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,9.94,-1.0,-1.0,1,0.816901408450704,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,226570,-1,09-Sep-2021,578.34,1199124.0,347004.0,NON-RES,0,0,-1,-1,-1,-1,11413,Springfield Gardens,NY,Consolidated Edison,1,Enter Solar LLC,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO L-G6.2 420,1377,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,420.0,-1.0,-1.0,0.201438848920863,-1.0,-1.0,SolarEdge Technologies Ltd.,SE100KUS [480V],5.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,33.3,-1.0,-1.0,1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113376401,-1,29-Oct-2013,3.71,-1.0,-1.0,RES,0,0,-1,-1,-1,-1,95472,SEBASTOPOL,CA,Pacific Gas and Electric,0,A1 Solar Power,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SolarWorld,SW265 MONO,14,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.164596273291925,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.79,-1.0,-1.0,1,0.978891820580475,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113447308,-1,12-Mar-2015,4.355,-1.0,0.0,RES,0,0,-1,-1,0,-1,94116,SAN FRANCISCO,CA,Pacific Gas and Electric,0,Luminalt Energy Corporation,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SunPower,SPR-X21-335-BLK,13,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,335.0,-1.0,-1.0,0.205521472392638,-1.0,-1.0,SMA America,SB3.8-1SP-US-40 [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.8,-1.0,-1.0,0,1.14605263157895,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Utah Office of Energy Development,-1,-1,-1,01-Jul-2020,7.68,23210.0,0.0,RES,0,0,-1,-1,-1,-1,84057,Orem,UT,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-124608445,-1,03-Oct-2022,4.15,17983.61,0.0,RES,1,1,tts_extension_id_14122,-1,0,0,95337,MANTECA,CA,Pacific Gas and Electric,1,Freedom Forever,0,268.0,-1.0,-1.0,22.0,-1,-1,"CSI Solar Co., Ltd.",CS3N-415MS,10,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,415.0,-1.0,-1.0,0.210659898477157,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.747,-1.0,-1.0,1,1.10755270883373,-1,-1,-1.0,-1.0,-1.0,pv-only,000000007569B5D3
Arizona Public Service,-1,122897,-1,20-Apr-2021,3.24,15323.0,-1.0,RES,0,0,-1,-1,-1,-1,86335,Rimrock,AZ,Arizona Public Service,0,A B P Electrical Systems Inc,0,-1.0,-1.0,-1.0,-1.0,-1,-1,REC Solar,REC360AA,-1,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,360.0,-1.0,-1.0,0.214285714285714,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,1.24615384615385,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Xcel Energy,-1,05084278,-1,23-Dec-2020,3.15,8734.31,-1.0,-1,0,0,-1,-1,-1,-1,80454,-1,CO,Xcel Energy,1,redacted,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.3125,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
