data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,TTS_link_ID,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh,battery_price,technology_type,extensions_multiphase_id
Xcel Energy,-1,05046944,-1,21-Sep-2018,3.445,14000.0,-1.0,-1,0,0,-1,-1,-1,-1,80440,-1,CO,Xcel Energy,0,redacted,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.10416666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-114521105,-1,07-May-2018,11.8,27000.0,0.0,RES,0,0,-1,-1,0,1,93908,SALINAS,CA,Pacific Gas and Electric,0,Cma Electric,0,190.0,-1.0,-1.0,25.0,-1,-1,SolarWorld,Sunmodule Protect SW 260 mono,40,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,1,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.162943001284743,-1.0,-1.0,Enphase Energy Inc.,IQ6-60-2-US [240V],40.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.23,-1.0,-1.0,0,1.28260869565217,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New Hampshire Public Utilities Commission,-1,120021,-1,24-May-2012,4.6,24720.0,4500.0,RES,0,0,-1,-1,-1,-1,03087,Windham,NH,Public Service Co of NH,0,ReVision Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SunPower,SPR-X22-460,-1,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,460.0,-1.0,-1.0,0.212962962962963,-1.0,-1.0,SunPower,SPR-7000m (208V),-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,7.0,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-120123310,-1,09-Dec-2020,11.84,35000.0,0.0,RES,0,0,-1,-1,0,1,93619,CLOVIS,CA,Pacific Gas and Electric,0,M V M Construction Inc,0,180.0,-1.0,-1.0,33.0,-1,-1,REC Solar,REC370AA,32,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,370.0,-1.0,-1.0,0.218934911242604,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],32.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,1.27586206896552,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113438276,-1,17-Jul-2015,7.395,-1.0,0.0,RES,1,1,tts_extension_id_128022,-1,0,-1,93422,ATASCADERO,CA,Pacific Gas and Electric,1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Trina Solar,TSM-255PA05.18,29,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,255.0,-1.0,-1.0,0.157567406409595,-1.0,-1.0,ABB,PVI-6000-OUTD-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.2325,-1,-1,-1.0,-1.0,-1.0,pv-only,000000024AAAAB50
California Public Utilities Commission,-1,SDGE-INT-337146,-1,14-Dec-2021,7.77,33925.0,0.0,RES,0,0,-1,-1,0,0,92024,ENCINITAS,CA,San Diego Gas and Electric,0,Aloha Solar,0,180.0,-1.0,-1.0,18.0,-1,-1,Silfab Solar Inc.,SIL-370BK,21,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,370.0,-1.0,-1.0,0.216881594372802,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,7.616,-1.0,-1.0,1,1.02022058823529,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Texas Public Utilities Commission,-1,Oncor_DRG-17679,-1,09-Mar-2019,12.917511,-1.0,-1.0,-1,0,0,-1,-1,-1,-1,-1,-1,TX,Oncor,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.133115,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-123099180,-1,30-Mar-2022,6.57,29568.0,0.0,RES,0,0,-1,-1,0,0,95209,STOCKTON,CA,Pacific Gas and Electric,0,Pioneer Solar Services,0,180.0,-1.0,-1.0,37.0,-1,-1,CertainTeed,CT365HC11-06,18,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,365.0,-1.0,-1.0,0.207386363636364,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],18.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,1.25862068965517,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SDGE-INT-126850,-1,08-Nov-2016,8.7,32536.0,0.0,RES,0,0,-1,-1,0,0,92694,LADERA RANCH,CA,San Diego Gas and Electric,0,Sungevity Development LLC,0,69.0,-1.0,-1.0,27.0,-1,-1,LG Electronics Inc.,LG300N1K-G4,29,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,300.0,-1.0,-1.0,0.18896447467876,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,7.625,-1.0,-1.0,1,1.14098360655738,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113428540,-1,31-Dec-2014,3.78,-1.0,0.0,RES,0,0,-1,-1,0,-1,93314,Bakersfield,CA,Pacific Gas and Electric,0,Enver Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SolarWorld,SW270 MONO,14,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,270.0,-1.0,-1.0,0.160714285714286,-1.0,-1.0,Enphase Energy,M215-60-2LL-S2x-NA [240V],14.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.215,-1.0,-1.0,0,1.25581395348837,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,48106,-1,18-Mar-2016,12.19,68264.0,4632.0,RES,0,0,-1,-1,-1,-1,12866,Saratoga Springs,NY,National Grid,1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Hanwha Q CELLS,Q.PRO-G4/SC 265,46,-1,-1,-1,-1,-1,-1,-1,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.165766004707755,-1.0,-1.0,ABB,PVI-6000-OUTD-US-Z-A [240V],2.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,1.01583333333333,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Green Mountain Power,VT Public Utilities Commission,16400_9375020929,NMR-7319,14-Jan-2016,5.45,-1.0,-1.0,RES,0,0,-1,-1,-1,-1,05753,WEYBRIDGE,VT,Green Mountain Power,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Samil Power,SolarRiver5000TL-US [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,5.0,-1.0,-1.0,0,1.09,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Massachusetts Clean Energy Center,Massachusetts Department of Energy Resources,CS2-C22943-016012,-1,18-Apr-2014,3.18,14840.0,1272.0,RES,0,0,tts_extension_id_81262,-1,0,-1,02139,Cambridge,MA,NSTAR DBA EverSource,0,Sunbug Solar,0,205.0,-1.0,-1.0,10.0,-1,-1,SolarWorld,SW265 Mono,12,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.164596273291925,-1.0,-1.0,Enphase Energy,M250-60-2LL-S2x (-ZC) (-NA) [240V],12.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.10416666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,0000000188CCF080
California Public Utilities Commission,-1,SDGE-INT-326067,-1,23-Sep-2021,2.72,10336.0,0.0,RES,0,0,-1,-1,0,0,92026,ESCONDIDO,CA,San Diego Gas and Electric,1,Sunstreet Energy Group LLC,0,173.0,-1.0,-1.0,27.0,-1,-1,LG Electronics Inc.,LG340N1K-V5,8,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,340.0,-1.0,-1.0,0.206222584526998,-1.0,-1.0,Enphase Energy Inc.,IQ7PLUS-72-2-US [240V],8.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.29,-1.0,-1.0,0,1.17241379310345,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-124434687,-1,08-Sep-2022,3.6,22126.31,0.0,RES,0,0,-1,-1,0,0,95336,MANTECA,CA,Pacific Gas and Electric,1,Sunrun Inc.,0,180.0,-1.0,-1.0,26.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10 400,9,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,400.0,-1.0,-1.0,0.208333333333333,-1.0,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,-1.0,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-114733378,-1,29-Jun-2018,4.16,16290.0,0.0,RES,0,0,-1,-1,0,0,95207,STOCKTON,CA,Pacific Gas and Electric,0,Semper Solaris,0,165.0,-1.0,-1.0,14.0,-1,-1,Panasonic,VBHN335KJ01,13,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,335.0,-1.0,-1.0,0.20059880239521,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.747,-1.0,-1.0,1,1.11022151054177,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
CPS Energy,-1,24811,-1,26-Nov-2019,4.02,18696.0,2500.0,RES,0,0,-1,-1,-1,-1,78263,San Antonio,TX,CPS Energy,-1,Sunpro Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,LG Electronics Inc.,LG335N1C-A5,12,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,335.0,-1.0,-1.0,0.203189899460425,-1.0,-1.0,Enphase Energy Inc.,IQ7-60-2-US [240V],12.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.39583333333333,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-18432,-1,10-Nov-2017,2.8,8500.0,0.0,RES,0,0,-1,-1,1,0,92782,TUSTIN,CA,Southern California Edison,0,Nexgen Construction,0,180.0,-1.0,-1.0,23.0,-1,-1,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HIS-S350TI,8,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,350.0,-1.0,-1.0,0.17892928714572,-1.0,-1.0,Enphase Energy Inc.,IQ6PLUS-72-2-US [208V],8.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.28,-1.0,-1.0,0,1.25,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Illinois Power Agency,-1,59868,NON361802,18-Oct-2022,10.44,-1.0,0.0,RES,0,0,-1,-1,0,0,60490,Bolingbrook,IL,ComEd,1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,1.5,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-113572327,-1,11-Jan-2017,6.76,31390.0,0.0,RES,0,0,-1,-1,0,0,95648,LINCOLN,CA,Pacific Gas and Electric,0,Solarco Inc,0,160.0,-1.0,-1.0,13.0,-1,-1,"HYUNDAI ENERGY SOLUTIONS CO., LTD.",HIS-M260RG(BK),26,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.158854293953761,-1.0,-1.0,Enphase Energy,M250-60-2LL-S2x (-ZC) (-NA) [240V],26.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.08333333333333,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-08742,-1,27-Nov-2017,4.88,23082.4,0.0,RES,0,0,-1,-1,0,0,92571,PERRIS,CA,Southern California Edison,1,Tesla Energy,0,180.0,-1.0,-1.0,18.0,-1,-1,LG Electronics Inc.,LG305N1K-Z4,16,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,305.0,-1.0,-1.0,0.192113882590073,-1.0,-1.0,ABB,PVI-3.6-OUTD-S-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.6,-1.0,-1.0,0,1.35555555555556,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Austin Energy,-1,19,-1,01-Jun-2006,4.0,39890.83,0.0,GOV,0,0,-1,-1,-1,-1,-1,-1,TX,Austin Energy,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,Sharp,NU-SA445,22,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,445.0,-1.0,-1.0,0.207943925233645,-1.0,-1.0,Fronius International GmbH,Fronius Primo 5.0-1 208-240 [240V],1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,5.0,-1.0,-1.0,0,0.8,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,147684,-1,01-Oct-2018,9.43,30631.0,3299.0,RES,0,0,-1,-1,-1,-1,12465,Pine Hill,NY,NYS Electric and Gas,0,APEX ENERGY TEK LLC,0,-1.0,-1.0,-1.0,-1.0,-1,-1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN325SA17,29,-1,-1,-1,-1,-1,-1,-1,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.203125,-1.0,-1.0,SolarEdge Technologies Ltd.,SE10000H-US [240V],1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,9.994,-1.0,-1.0,1,0.94356613968381,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-117620140,-1,26-Jul-2019,4.95,26210.0,0.0,RES,0,0,-1,-1,0,0,94015,DALY CITY,CA,Pacific Gas and Electric,0,First Pv Solar,0,151.0,-1.0,-1.0,20.0,-1,-1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,15,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,330.0,-1.0,-1.0,0.20625,-1.0,-1.0,SMA America,SB6.0-1SP-US-40 [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,6.0,-1.0,-1.0,0,0.825,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New Jersey Board of Public Utilities,-1,NJSRRE1540163844,-1,16-Apr-2019,12.6,-1.0,0.0,RES,0,0,-1,-1,-1,-1,08810,South Brunswick Township,NJ,PSEG,0,Sunrun Inc.,0,-1.0,-1.0,-1.0,-1.0,-1,-1,redacted,redacted,-1,redacted,redacted,-1,redacted,redacted,-1,-1,redacted,redacted,redacted,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,redacted,redacted,-1.0,redacted,redacted,-1,redacted,redacted,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,redacted,redacted,-1.0,-1.0,-1.0,redacted,-1
California Public Utilities Commission,-1,PGE-INT-123180913,-1,20-Apr-2022,11.5336492890995,47301.12,0.0,RES,0,0,-1,-1,0,0,93907,SALINAS,CA,Pacific Gas and Electric,1,Sunrun Inc.,0,80.0,-1.0,-1.0,28.0,-1,-1,"LONGi Green Energy Technology Co., Ltd.",LR4-60HPH-360M,32,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,360.0,-1.0,-1.0,0.203389830508475,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3800H-US [240V],1.0,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,-1,-1,-1,0,0,0,-1,1,1,-1,3.747,6.046,-1.0,1,1.17774423456545,"LG Energy Solution, Ltd.",RESU10H,4.95,9.6,-1.0,pv+storage,-1
California Public Utilities Commission,-1,SCE-INT-NST-146146,-1,22-Jun-2020,5.25,14000.0,0.0,RES,0,0,-1,-1,0,0,92284,YUCCA VALLEY,CA,Southern California Edison,0,Self,1,180.0,-1.0,-1.0,18.0,-1,-1,LG Electronics Inc.,LG350N1C-V5,15,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,350.0,-1.0,-1.0,0.212287954660145,-1.0,-1.0,Enphase Energy Inc.,IQ7A-72-2-US [240V],15.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.349,-1.0,-1.0,0,1.00286532951289,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New Jersey Board of Public Utilities,-1,NJADRE1550150230,-1,21-Nov-2022,11.05,-1.0,0.0,RES,0,0,-1,-1,-1,-1,08618,EWING,NJ,PSEG,0,Sunpower Corp,0,-1.0,-1.0,-1.0,-1.0,-1,-1,redacted,redacted,-1,redacted,redacted,-1,redacted,redacted,-1,-1,redacted,redacted,redacted,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,redacted,redacted,-1.0,redacted,redacted,-1,redacted,redacted,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,redacted,redacted,-1.0,-1.0,-1.0,redacted,-1
California Public Utilities Commission,California Energy Commission,PGE-INT-118764122,NS004H49,05-Apr-2020,3.015,13567.51,544.0,RES,0,0,-1,1,0,0,95765,Rocklin,CA,Pacific Gas and Electric,1,Sunpower Corp,0,256.0,-1.0,-1.0,18.0,-1,-1,SunPower,SPR-X21-335-BLK-D-AC,9,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,335.0,-1.0,-1.0,0.205395462906193,-1.0,-1.0,SunPower,SPR-X21-335-BLK-D-AC [240V],9.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.32,-1.0,-1.0,0,1.046875,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,SCE-INT-NST-100016,-1,24-Jul-2019,8.775,30200.0,0.0,RES,0,0,-1,-1,0,0,92404,SAN BERNARDINO,CA,Southern California Edison,0,Mohr Power Solar Inc,0,179.0,-1.0,-1.0,18.0,-1,-1,Hanwha Q CELLS,Q.PEAK DUO-G5 325,27,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,325.0,-1.0,-1.0,0.198655256723716,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600H-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,7.616,-1.0,-1.0,1,1.15217962184874,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-114200906,-1,09-Apr-2018,7.245,36830.0,0.0,RES,0,0,-1,-1,0,0,93203,ARVIN,CA,Pacific Gas and Electric,1,Sunpower Corp,0,90.0,-1.0,-1.0,17.0,-1,-1,SunPower,SPR-X21-345-D-AC,21,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,345.0,-1.0,-1.0,0.211526670754139,-1.0,-1.0,SunPower,SPR-X21-345-D-AC [240V],21.0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0.32,-1.0,-1.0,0,1.078125,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
New York State Energy Research and Development Authority,-1,8411,-1,28-Oct-2015,3.38,18928.0,460.0,RES,0,0,-1,-1,-1,-1,11021,Great Neck,NY,Long Island Power Authority,1,Tesla Energy,0,-1.0,-1.0,-1.0,-1.0,-1,-1,Trina Solar,TSM-260PD05.18,13,-1,-1,-1,-1,-1,-1,-1,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,260.0,-1.0,-1.0,0.160656963398018,-1.0,-1.0,ABB,PVI-3.0-OUTD-S-US-Z-A [240V],1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,3.0,-1.0,-1.0,0,1.12666666666667,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,-1,PGE-INT-114214715,-1,02-Jan-2018,8.7,28275.0,0.0,RES,0,0,-1,-1,0,0,95746,GRANITE BAY,CA,Pacific Gas and Electric,0,Allphase Solar,0,176.0,-1.0,-1.0,22.0,-1,-1,Silfab Solar Inc.,SIL300ML,29,-1,-1,-1,-1,-1,-1,0,Monocrystalline,-1,-1,0,-1,-1,0,-1,-1,300.0,-1.0,-1.0,0.184049079754601,-1.0,-1.0,SolarEdge Technologies Ltd.,SE7600A-US [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,7.625,-1.0,-1.0,1,1.14098360655738,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
California Public Utilities Commission,California Public Utilities Commission,SCE-INT-500061834,SCE-CSI-08999,17-Jun-2010,5.16,35718.19,8066.0,RES,0,0,-1,0,0,0,93105,Santa Barbara,CA,Southern California Edison,1,REC Commercial Corp,0,233.0,-1.0,-1.0,22.0,-1,-1,REC Solar,REC215AE-US,24,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,215.0,-1.0,-1.0,0.130301845740796,-1.0,-1.0,SMA America,SB5.0-1SP-US-40 [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,5.0,-1.0,-1.0,0,1.032,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
Green Mountain Power,VT Public Utilities Commission,56204_1434720715,21-1660-NMR,13-Dec-2021,9.0,-1.0,-1.0,RES,0,0,-1,-1,0,0,05161,WESTON,VT,Green Mountain Power,0,SunCommon,0,-1.0,-1.0,-1.0,-1.0,-1,-1,LG Electronics Inc.,LG360N1W-V5,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Enphase Energy Inc,IQ7-60-2-US [240V],-1.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,0.24,-1.0,-1.0,0,1.08958837772397,-1,-1,10.0,-1.0,-1.0,pv+storage,-1
New Jersey Board of Public Utilities,-1,NJSRRE1542372579,-1,19-Feb-2020,7.0,-1.0,0.0,RES,0,0,tts_extension_id_99918,-1,-1,-1,08823,Franklin Township,NJ,PSEG,0,Momentum Solar,0,-1.0,-1.0,-1.0,-1.0,-1,-1,redacted,redacted,-1,redacted,redacted,-1,redacted,redacted,-1,-1,redacted,redacted,redacted,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,redacted,redacted,-1.0,redacted,redacted,-1,redacted,redacted,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,redacted,redacted,-1.0,-1.0,-1.0,redacted,00000001D5E3D31C
California Public Utilities Commission,-1,PGE-INT-113514680,-1,23-Feb-2016,3.445,13500.0,0.0,RES,0,0,-1,-1,0,0,94568,DUBLIN,CA,Pacific Gas and Electric,0,Sunrun Inc.,0,77.0,-1.0,-1.0,22.0,-1,-1,"CSI Solar Co., Ltd.",CS6PH-265P,13,-1,-1,-1,-1,-1,-1,0,Polycrystalline,-1,-1,0,-1,-1,0,-1,-1,265.0,-1.0,-1.0,0.170967741935484,-1.0,-1.0,SolarEdge Technologies Ltd.,SE3000x [240V],1.0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,3.01,-1.0,-1.0,1,1.14451827242525,-1,-1,-1.0,-1.0,-1.0,pv-only,-1
